the_geom,OBJECTID,CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPE.LEN,SCHOOLZONE,SCHOOLZONE_LIMIT,Status,MTAB_MOTION,MTAB_DATE,MTAB_RESO_TEXT,WorkOrder
"MULTILINESTRING ((-122.442663327205 37.792347964241, -122.443018008392 37.792302826332))",2113,10160000,PACIFIC,AVE,,RAYCLIFF TER,BRODERICK ST,0,,,,,103.80412293234801,,,,,,,
"MULTILINESTRING ((-122.440616746822 37.712651089004, -122.44111728422 37.712515764659))",14085,9389000,MORSE,ST,,POPE ST,UNNAMED #069,0,,,,,152.95422181320902,,,,,,,
"MULTILINESTRING ((-122.443360479282 37.750087549632, -122.443306801828 37.750000713715, -122.443449301722 37.749425345083, -122.443586073944 37.749151523312, -122.443729767287 37.749004109379, -122.443960341642 37.74869951165, -122.444128040565 37.748364833526, -122.444089962872 37.748033550635, -122.444024795497 37.747790878653, -122.444034411855 37.747534007673, -122.444178983264 37.747250376746, -122.44433875288 37.747089380813, -122.444566879826 37.746979685911, -122.444724052374 37.746924887533, -122.444860441713 37.746950313309))",7464,10611101,PORTOLA,DR,,MARKET ST,DIAMOND HEIGHTS BLVD,35,,,,,1342.8795962818899,,,,,,,
"MULTILINESTRING ((-122.457195918259 37.801892322201, -122.457265113769 37.802132111275, -122.457309745795 37.802187151377, -122.457689567928 37.802478201896, -122.457781308478 37.802620997917, -122.457606755785 37.802776149005, -122.457538781797 37.802908285413, -122.45753349308 37.803046462287, -122.457697808704 37.803786330847))",12329,19020000,BANK,ST,,LINCOLN BLVD,OLD MASON ST,0,,,,,775.96791993584202,,,,,,,
"MULTILINESTRING ((-122.438472609852 37.729917382771, -122.437716665874 37.729275434788))",15641,3653000,CAPISTRANO,AVE,,SAN JOSE AVE,SAN GABRIEL AVE,0,,,,,320.07234780087305,,,,,,,
"MULTILINESTRING ((-122.500815762293 37.779355156503, -122.500932257444 37.779280845729, -122.501776266449 37.779242480965, -122.501884222703 37.779312062148))",2777,6097101,GEARY,BLVD,,40TH AVE,41ST AVE,0,,,,,327.73246009257207,,,,,,,
"MULTILINESTRING ((-122.437720381769 37.778837322997, -122.438565496269 37.778729050846))",2308,6275000,GOLDEN GATE,AVE,,SEYMOUR ST,DIVISADERO ST,30,,,,,247.42430051748801,,,,,,,
"MULTILINESTRING ((-122.412525470343 37.78048345714, -122.413161264093 37.780998727483))",12380,3899000,CHARLES J BRENHAM,PL,,MARKET ST,MCALLISTER ST,0,,,,,262.62934705918502,,,,,,,
"MULTILINESTRING ((-122.411619327458 37.776226301115, -122.413174323321 37.774996696485))",5438,7051000,HOWARD,ST,,08TH ST,09TH ST,25,,,,,634.430348438485,,,,,,,
"MULTILINESTRING ((-122.405319735427 37.789165531248, -122.405350203473 37.789321257647))",6039,6385000,GRANT,AVE,,CAMPTON PL,TILLMAN PL,0,,,,,57.387329346148597,,,,,,,
"MULTILINESTRING ((-122.399536927821 37.753868040133, -122.399569246405 37.753745977362, -122.399663163927 37.753734711355, -122.399768366796 37.753684257381, -122.399866554835 37.753599784546, -122.399925641305 37.753507816144, -122.399954354187 37.753429338419, -122.399939993121 37.753348305292, -122.399888371238 37.753251619244, -122.399792086346 37.753170281845, -122.399452215985 37.753022465439))",3958,4372000,CORAL,RD,,CAROLINA ST,CAROLINA ST,0,,,,,438.36208548327301,,,,,,,
"MULTILINESTRING ((-122.391154570892 37.718044994801, -122.391612614907 37.717531100464))",6702,6805000,HAWES,ST,,INGERSON AVE,JAMESTOWN AVE,0,,,,,229.29024991276401,,,,,,,
"MULTILINESTRING ((-122.451416107211 37.765620701419, -122.4527716411 37.765447795022))",890,3696000,CARL,ST,,SHRADER ST,STANYAN ST,0,,,,,396.88495505040902,,,,,,,
"MULTILINESTRING ((-122.428442440013 37.735862391955, -122.428181510911 37.73560969477))",14324,8868000,MATEO,ST,,ARLINGTON ST,END: 300-399 BLOCK,0,,,,,119.00282233596901,,,,,,,
"MULTILINESTRING ((-122.403760061491 37.789368224626, -122.40385477786 37.78983428549))",15144,7750000,KEARNY,ST,,VER MEHR PL,SUTTER ST,0,,,,,171.90937857474799,,,,,,,
"MULTILINESTRING ((-122.405437947258 37.771301297692, -122.407014702991 37.770054717386))",6831,3089000,BRANNAN,ST,,08TH ST,09TH ST,25,,,,,643.27016230312711,,,,,,,
"MULTILINESTRING ((-122.405944542712 37.782301086671, -122.405479488595 37.781929963687))",6560,294000,05TH,ST,,MINNA ST,NATOMA ST,0,,,,,190.60319657114502,,,,,,,
"MULTILINESTRING ((-122.408266418478 37.795828652865, -122.408444102119 37.796708849992))",5508,12207000,STOCKTON,ST,,JACKSON ST,PACIFIC AVE,0,,,,,324.61079050220002,,,,,,,
"MULTILINESTRING ((-122.471020200665 37.756352399263, -122.471486059658 37.756365429657))",5033,5230000,ENCINAL,WALK,,14TH AVE,END: 1-99 BLOCK,0,,,,,134.77104779890402,,,,,,,
"MULTILINESTRING ((-122.449380535254 37.791492923542, -122.449202805299 37.790613051293))",6523,13381000,WALNUT,ST,,PACIFIC AVE,JACKSON ST,0,,,,,324.49633043853504,,,,,,,
"MULTILINESTRING ((-122.483335544951 37.744592005812, -122.483205603822 37.742725149863))",14625,1486000,26TH,AVE,,SANTIAGO ST,TARAVAL ST,0,,,,,680.84873523533497,,,,,,,
"MULTILINESTRING ((-122.408092317051 37.794945633022, -122.408266418478 37.795828652865))",5504,12206000,STOCKTON,ST,,WASHINGTON ST,JACKSON ST,0,,,,,325.46422230469403,,,,,,,
"MULTILINESTRING ((-122.418296627225 37.712354085632, -122.418779202384 37.711938370221))",16376,11641000,SANTOS,ST,,SUNNYDALE AVE,BROOKDALE AVE,0,,,,,205.925483770943,,,,,,,
"MULTILINESTRING ((-122.411153015945 37.785079542451, -122.412795344144 37.784871191238))",11784,5173000,ELLIS,ST,,TAYLOR ST,JONES ST,0,,,,,480.66689593333501,,,,,,,
"MULTILINESTRING ((-122.403165142795 37.750533670436, -122.403067903252 37.749549215947))",4155,13224000,VERMONT,ST,,26TH ST,END: 1500-1599 BLOCK,0,,,,,359.58803617860303,,,,,,,
"MULTILINESTRING ((-122.456146712643 37.72003823839, -122.456154694318 37.721850794315))",11324,10521000,PLYMOUTH,AVE,,GRAFTON AVE,HOLLOWAY AVE,25,,,,,660.03931307306607,,,,,,,
"MULTILINESTRING ((-122.423443967075 37.74170014014, -122.423859129774 37.740653632048))",13490,11438102,SAN JOSE,AVE,,KINGSTON ST,BROOK ST,30,,,,,399.54675365527805,,,,,,,
"MULTILINESTRING ((-122.406421170697 37.800791364562, -122.4068142681 37.800741782988))",3318,12841000,UNION,ST,,SONOMA ST,VARENNES ST,0,,,,,115.00904520831,,,,,,,
"MULTILINESTRING ((-122.425088913547 37.751038093651, -122.42515574665 37.750921158458, -122.425102455031 37.75034398046, -122.425012437458 37.750237659655))",4866,4879201,DOLORES,ST,,JERSEY ST,25TH ST,25,,,,,304.15556875019803,,,,,,,
"MULTILINESTRING ((-122.475238694134 37.720447568263, -122.475443386925 37.720345761951, -122.475766731059 37.720081055452, -122.4757531934 37.720010286614))",16115,4504201,CRESPI,DR,,19TH AVE,GONZALEZ DR,0,,,,,230.233196131868,,,,,,,
"MULTILINESTRING ((-122.391924722436 37.774685309117, -122.394922290202 37.772315278523))",1785,12898000,CHANNEL,ST,,04TH ST,UNNAMED #014,0,,,,,1222.9377776881599,,,,,,,
"MULTILINESTRING ((-122.44111728422 37.712515764659, -122.440630247931 37.711349707477))",14656,12945000,UNNAMED #069,,,MORSE ST,BRUNSWICK ST,0,,,,,447.37989553200106,,,,,,,
"MULTILINESTRING ((-122.378367256064 37.733475310472, -122.378363220838 37.733303471663, -122.377897633546 37.732873241446))",9223,19837000,MARIST,CT,,INNES AVE,END: 1-99 BLOCK,0,,,,,269.16599519491001,,,,,,,
"MULTILINESTRING ((-122.419682186335 37.765056280708, -122.419525950378 37.763434216155))",8609,9116000,MISSION,ST,,16TH ST,17TH ST,0,,,,,592.39724312512499,,,,,,,
"MULTILINESTRING ((-122.451163204652 37.799568762492, -122.450229969393 37.801037614759))",2420,19582000,OREILLY,AVE,,TORNEY AVE,EDIE RD,0,,,,,599.01109517235909,,,,,,,
"MULTILINESTRING ((-122.451181754984 37.733806487989, -122.452519080114 37.733800697275))",9270,8952000,MELROSE,AVE,,GENNESSEE ST,LULU ALY,0,,,,,386.76576009625802,,,,,,,
"MULTILINESTRING ((-122.417989690364 37.743452112451, -122.418834368192 37.742143713058, -122.418927344412 37.742089484331))",8967,13678000,WINFIELD,ST,,ESMERALDA AVE,VIRGINIA AVE,0,,,,,568.77036628020403,,,,,,,
"MULTILINESTRING ((-122.475422293939 37.739330370093, -122.4764991886 37.739282278301))",14551,13245000,VICENTE,ST,,19TH AVE,20TH AVE,25,,,,,311.91141613908701,,,,,,,
"MULTILINESTRING ((-122.456485920836 37.775488206325, -122.458448493282 37.775244705424))",2282,8912000,MCALLISTER,ST,,WILLARD NORTH ST,ARGUELLO BLVD,0,,,,,574.15506571879803,,,,,,,
"MULTILINESTRING ((-122.414539302063 37.771409594953, -122.415009869127 37.770901052753))",8605,5684000,FOLSOM,ST,,NORFOLK ST,12TH ST,25,,,,,229.77263263508502,,,,,,,
"MULTILINESTRING ((-122.426322654034 37.769607540376, -122.426697193542 37.769538570086, -122.429004396683 37.769399166934, -122.429141202088 37.769461071776))",6195,4984000,DUBOCE,AVE,,MARKET ST,CHURCH ST,0,,,,,825.522582077435,,,,,,,
"MULTILINESTRING ((-122.446260444255 37.784443255939, -122.446046247029 37.78351414214))",2004,10769000,PRESIDIO,AVE,,SUTTER ST,POST ST,0,,,,,343.95354229543904,,,,,,,
"MULTILINESTRING ((-122.443358822016 37.713933127501, -122.443719243569 37.713596448625))",14170,9184000,MISSION,ST,,CONCORD ST,OTTAWA AVE,0,,,,,160.93998825138598,,,,,,,
"MULTILINESTRING ((-122.414696347022 37.781764036787, -122.415518394385 37.781659206168))",4258,6262000,GOLDEN GATE,AVE,,DALE PL,HYDE ST,25,,,,,240.63355077291999,,,,,,,
"MULTILINESTRING ((-122.417090496911 37.806146194279, -122.417273850433 37.80707746128))",5218,7601000,JONES,ST,,NORTH POINT ST,BEACH ST,0,,,,,343.23494994202701,,,,,,,
"MULTILINESTRING ((-122.399004254689 37.71534373004, -122.399156016462 37.715233157761, -122.399441743443 37.71450027378, -122.399598058425 37.714281258877, -122.400665102758 37.713199620828, -122.400671234857 37.713062911534))",15053,2822201,BAY SHORE,BLVD,,HWY 101 S OFF RAMP,TUNNEL AVE,35,,,,,980.86497709956109,,,,,,,
"MULTILINESTRING ((-122.434746882478 37.793352229385, -122.434932546115 37.794270977715))",11906,5558000,FILLMORE,ST,,PACIFIC AVE,BROADWAY,0,,,,,338.83735246862602,,,,,,,
"MULTILINESTRING ((-122.440916564334 37.70911180898, -122.44148946425 37.708916596686))",15483,7907000,KNOTT,CT,,WATT AVE,END: 2-99 BLOCK,0,,,,,180.34136902139502,,,,,,,
"MULTILINESTRING ((-122.501746123606 37.777389900082, -122.5028198509 37.777341085557))",16470,2357000,ANZA,ST,,41ST AVE,42ND AVE,0,,,,,310.85313978554007,,,,,,,
"MULTILINESTRING ((-122.444829311201 37.752629441748, -122.445047181375 37.752628247429, -122.445380417448 37.752575185348, -122.445469794544 37.752581390137))",15722,13333000,VISTA,LN,,BURNETT AVE,GARDENSIDE DR,0,,,,,187.20212258458699,,,,,,,
"MULTILINESTRING ((-122.440934989047 37.717814287004, -122.441636052613 37.71726311127))",9744,6226000,GLORIA,CT,,START: 1-99 BLOCK,GENEVA AVE,0,,,,,285.32370966690701,,,,,,,
"MULTILINESTRING ((-122.428348831069 37.7867176001, -122.428538229415 37.787655506433))",9397,7966000,LAGUNA,ST,,SUTTER ST,BUSH ST,0,,,,,345.89702917034901,,,,,,,
"MULTILINESTRING ((-122.478778060316 37.786742822714, -122.478726798502 37.786036210912))",4284,901000,19TH,AVE,,START: 1-99 BLOCK,LAKE ST,0,,,,,257.73897587732199,,,,,,,
"MULTILINESTRING ((-122.475014598145 37.799205342739, -122.475160200825 37.79942704734, -122.475220458826 37.79959164236, -122.475245564437 37.799761492037, -122.47517805043 37.799876914181, -122.475003961188 37.799966131276))",2415,19151000,GREENOUGH,AVE,,POPE ST,RALSTON AVE,0,,,,,321.94813942872901,,,,,,,
"MULTILINESTRING ((-122.473697602797 37.745016493895, -122.473566644391 37.743148529345))",4087,768000,17TH,AVE,,SANTIAGO ST,TARAVAL ST,0,,,,,681.26810331670606,,,,,,,
"MULTILINESTRING ((-122.416684719416 37.750742039114, -122.417214117932 37.75071012597))",8503,1438000,25TH,ST,,CYPRESS ST,CAPP ST,0,,,,,153.50993129351002,,,,,,,
"MULTILINESTRING ((-122.444606081171 37.775091029536, -122.444793110979 37.776021533559))",5259,3865000,CENTRAL,AVE,,GROVE ST,FULTON ST,0,,,,,343.12787117511306,,,,,,,
"MULTILINESTRING ((-122.43809793987 37.72786547195, -122.439109937041 37.728409110271))",10562,11592000,SANTA ROSA,AVE,,CAPISTRANO AVE,SAN GABRIEL AVE,0,,,,,353.35644860476702,,,,,,,
"MULTILINESTRING ((-122.400671234857 37.713062911534, -122.400668031354 37.712935759394, -122.400834929712 37.712764912026, -122.401155891701 37.712530306529, -122.401581193443 37.712354124827, -122.40192795372 37.712255802716))",10153,2823101,BAY SHORE,BLVD,,TUNNEL AVE,BLANKEN AVE,35,,,,,496.50207604849498,,,,,,,
"MULTILINESTRING ((-122.410944300976 37.769416135446, -122.411139303378 37.769430226944, -122.413195898612 37.769506329033, -122.413398452536 37.769506948919))",6497,548201,13TH,ST,,BRYANT ST,HARRISON ST,0,,,,,710.28948562533697,,,,,,,
"MULTILINESTRING ((-122.436080387314 37.748766975786, -122.436003019929 37.747967941382))",7629,4749000,DIAMOND,ST,,CLIPPER ST,26TH ST,0,,,,,291.82536900475606,,,,,,,
"MULTILINESTRING ((-122.487462326754 37.757499838164, -122.487329089966 37.755640282506))",3239,1618000,29TH,AVE,,LAWTON ST,MORAGA ST,0,,,,,678.24900908505299,,,,,,,
"MULTILINESTRING ((-122.44433796839 37.714092325461, -122.44490407265 37.713646406804))",11166,5159000,ELLINGTON,AVE,,OTTAWA AVE,SALA TER,0,,,,,230.61998246925799,,,,,,,
"MULTILINESTRING ((-122.416352094137 37.769692462839, -122.417141913686 37.769883050172, -122.417793279592 37.769980397492, -122.41942693475 37.770223664453))",1024,19208000,HWY 101 NORTHBOUND,,,HWY 101 NORTHBOUND,HWY 101 NORTHBOUND,99,,,,,910.6844782905481,,,,,,,
"MULTILINESTRING ((-122.417653683921 37.745886596813, -122.417253061931 37.74572267953))",4195,4453000,COSO,AVE,,LUNDY'S LN,PROSPECT AVE,0,,,,,130.31683449747601,,,,,,,
"MULTILINESTRING ((-122.40692371338 37.73797080905, -122.4069602838 37.737833890386, -122.406785078902 37.736428944836, -122.406717044694 37.736313546071))",5913,2802201,BAY SHORE,BLVD,,INDUSTRIAL ST,HELENA ST,35,,,,,611.477828062085,,,,,,,
"MULTILINESTRING ((-122.40677692416 37.732087611815, -122.406588055395 37.732145765422))",10807,11923000,SILVER,AVE,,BARNEVELD AVE,GIRARD ST,25,,,,,58.584142931088202,,,,,,,
"MULTILINESTRING ((-122.49739482549 37.745837943595, -122.497261405951 37.743978928974))",12710,1877000,39TH,AVE,,RIVERA ST,SANTIAGO ST,0,,,,,678.05437126767106,,,,,,,
"MULTILINESTRING ((-122.426905947825 37.79627719729, -122.42855103237 37.796067838195))",12659,13111000,VALLEJO,ST,,GOUGH ST,OCTAVIA ST,0,,,,,481.44064339980304,,,,,,,
"MULTILINESTRING ((-122.396494595495 37.710999088357, -122.396723178319 37.71039296595))",9004,6177000,GILLETTE,AVE,,BLANKEN AVE,NIBBI CT,0,,,,,230.41003179346603,,,,,,,
"MULTILINESTRING ((-122.493459572234 37.78163217808, -122.494532978603 37.781582233723))",4633,4183000,CLEMENT,ST,,33RD AVE,34TH AVE,0,,,,,310.76661828802605,,,,,,,
"MULTILINESTRING ((-122.481973473533 37.755876730128, -122.481845066934 37.754009171291))",3363,1303000,24TH,AVE,,MORAGA ST,NORIEGA ST,0,,,,,681.0809547996671,,,,,,,
"MULTILINESTRING ((-122.391794218906 37.764146348088, -122.391550824642 37.761598996987))",1296,7193000,INDIANA,ST,,MARIPOSA ST,19TH ST,0,,,,,930.27985716089006,,,,,,,
"MULTILINESTRING ((-122.369270062135 37.729787149788, -122.369609917452 37.729418438878))",1168,19082000,DONAHUE,ST,,GALVEZ AVE,INNES AVE,0,,,,,166.39899596802098,,,,,,,
"MULTILINESTRING ((-122.472040264081 37.757470200487, -122.472097125078 37.757358733824, -122.472214172216 37.757123015153, -122.472407879938 37.756848444104, -122.472650855064 37.756562643604, -122.472709675005 37.756435189607, -122.472730044224 37.756286502852))",3412,618201,15TH,AVE,,14TH AVE,MORAGA ST,0,,,,,480.11608591414802,,,,,,,
"MULTILINESTRING ((-122.448765302 37.799217678796, -122.449304791725 37.799411229792))",2419,19922000,WINN,WAY,,DEWITT RD,TRUBY ST,0,,,,,171.07849368308101,,,,,,,
"MULTILINESTRING ((-122.404645902805 37.799103306901, -122.405658485126 37.798974255935))",5984,13088000,VALLEJO,ST,,START: 400-499 BLOCK,KEARNY ST,0,,,,,296.33594359130404,,,,,,,
"MULTILINESTRING ((-122.399268262738 37.78758422451, -122.39998817601 37.787015734574))",7081,9040000,MINNA,ST,,02ND ST,NEW MONTGOMERY ST,0,,,,,293.49823971561199,,,,,,,
"MULTILINESTRING ((-122.392544664901 37.751491632343, -122.392354868318 37.751703934072, -122.392209257077 37.751737266799, -122.392012478711 37.751678436479))",641,19336000,I-280 S ON,RAMP,,PENNSYLVANIA AVE,I-280 S ON RAMP,99,,,,,199.41715576036501,,,,,,,
"MULTILINESTRING ((-122.450131662854 37.786842602155, -122.450238253239 37.78682198902, -122.45177117662 37.786624504474))",15374,3568000,CALIFORNIA,ST,,LAUREL ST,LOCUST ST,25,,,,,480.51681194422605,,,,,,,
"MULTILINESTRING ((-122.402009037354 37.743098652245, -122.403256493809 37.743799301497))",9642,8930000,MCKINNON,AVE,,UPTON ST,BARNEVELD AVE,0,,,,,441.83401901914698,,,,,,,
"MULTILINESTRING ((-122.471501817645 37.745114043963, -122.47137005163 37.743244900487))",8436,627000,15TH,AVE,,SANTIAGO ST,TARAVAL ST,0,,,,,681.70975788887301,,,,,,,
"MULTILINESTRING ((-122.413203435831 37.741766201534, -122.413226154712 37.741478513164))",9725,5708000,FOLSOM,ST,,CHAPMAN ST,POWHATTAN AVE,0,,,,,104.966791445533,,,,,,,
"MULTILINESTRING ((-122.42648136279 37.722830542696, -122.427657858358 37.721262558453))",10935,9399000,MOSCOW,ST,,EXCELSIOR AVE,BRAZIL AVE,0,,,,,664.69394275070294,,,,,,,
"MULTILINESTRING ((-122.37741745498 37.736717096077, -122.379122853339 37.737685237921))",9233,5329000,EVANS,AVE,,HUNTERS POINT BLVD,JENNINGS ST,35,,,,,606.23538346227201,,,,,,,
"MULTILINESTRING ((-122.465190810129 37.748011648131, -122.464390501649 37.74779492573))",6567,8997000,MESA,AVE,,09TH AVE,SANTA RITA AVE,0,,,,,244.495758834067,,,,,,,
"MULTILINESTRING ((-122.444939955634 37.765497095749, -122.44470823411 37.765250725459, -122.444673806068 37.765145479248, -122.444708963012 37.765023872949, -122.444815561915 37.764893152096, -122.444958112238 37.764809762786, -122.445113046711 37.764755323444, -122.445094225317 37.764687962434, -122.444913126064 37.764720275766, -122.444748366716 37.764725249937, -122.444509075197 37.764706639616, -122.44405015785 37.764602671837))",7350,2519000,ASHBURY,TER,,DELMAR ST,UPPER TER,0,,,,,687.78658069836001,,,,,,,
"MULTILINESTRING ((-122.438067122121 37.713361079228, -122.437798027821 37.712723492991))",13656,11181000,ROYAL LANE,CT,,MORSE ST,END: 1-99 BLOCK,0,,,,,244.87695448608599,,,,,,,
"MULTILINESTRING ((-122.444021243147 37.761286864113, -122.444117412276 37.761252964934, -122.444277101034 37.76110530187, -122.444302689148 37.760993855269, -122.44429731704 37.76076876548, -122.44430641905 37.760672966846, -122.44436361106 37.760518906339))",15133,4381000,CORBETT,AVE,,DANVERS ST,MARS ST,0,,,,,317.99337546017705,,,,,,,
"MULTILINESTRING ((-122.453933482465 37.80060918826, -122.452968213051 37.801997905176))",15221,19138000,GIRARD,RD,,LINCOLN BLVD,EDIE RD,0,,,,,577.51545489933596,,,,,,,
"MULTILINESTRING ((-122.50018621419 37.75505772523, -122.500058090408 37.753205996928))",3267,1915000,41ST,AVE,,MORAGA ST,NORIEGA ST,0,,,,,675.32047172016507,,,,,,,
"MULTILINESTRING ((-122.450018461496 37.711724989844, -122.450786716367 37.712340640828))",16416,9026000,MILAN,TER,,HURON AVE,MONETA WAY,0,,,,,315.67959580336304,,,,,,,
"MULTILINESTRING ((-122.396149677576 37.717042871361, -122.395603521968 37.717651816343, -122.39556944814 37.717717653156))",12341,8231000,LE CONTE,AVE,,MEADE AVE,LE CONTE AVE,0,,,,,298.189910853188,,,,,,,
"MULTILINESTRING ((-122.484608462525 37.778170773405, -122.484473876385 37.776307106775))",2975,1377000,25TH,AVE,,ANZA ST,BALBOA ST,25,,,,,679.76757110923609,,,,,,,
"MULTILINESTRING ((-122.428981988021 37.767734113664, -122.428961782568 37.767509402798))",5817,4009000,CHURCH,ST,,14TH ST,MARKET ST,0,,,,,82.036444127553096,,,,,,,
"MULTILINESTRING ((-122.493420188891 37.734861057117, -122.493870297437 37.735032786279))",11103,13759000,YORBA,ST,,36TH AVE,SUNSET BLVD,0,,,,,144.41312620775602,,,,,,,
"MULTILINESTRING ((-122.390981096199 37.734018815212, -122.391080337452 37.733937887121, -122.391277371106 37.733374706352, -122.391257699022 37.733228205199))",11497,213201,03RD,ST,,PALOU AVE,QUESADA AVE,25,,,,,307.63695558144803,,,,,,,
"MULTILINESTRING ((-122.400428799763 37.75207976044, -122.401377580339 37.75202283925))",3949,1417000,25TH,ST,,DE HARO ST,RHODE ISLAND ST,0,,,,,275.10598606159101,,,,,,,
"MULTILINESTRING ((-122.398597842639 37.733643790567, -122.40003482355 37.73231546562))",9119,8595000,MADDUX,AVE,,TOPEKA AVE,SCOTIA AVE,0,,,,,637.71656888280802,,,,,,,
"MULTILINESTRING ((-122.426014468834 37.800211194254, -122.426122386869 37.800746171052))",14108,5837000,FRANKLIN,ST,,GREENWICH ST,BLACKSTONE CT,0,,,,,197.29218446327201,,,,,,,
"MULTILINESTRING ((-122.415026838693 37.742187107218, -122.415087123928 37.741585208947))",13428,2267000,ANDERSON,ST,,BERNAL HEIGHTS BLVD,POWHATTAN AVE,0,,,,,219.87193125471802,,,,,,,
"MULTILINESTRING ((-122.491836980518 37.77409889376, -122.491701271092 37.772232431648))",4078,1706000,32ND,AVE,,CABRILLO ST,FULTON ST,0,,,,,680.80219730418696,,,,,,,
"MULTILINESTRING ((-122.405122659393 37.708858545656, -122.405993756754 37.709103013783))",14150,12255000,SUNNYDALE,AVE,,BAY SHORE BLVD,DESMOND ST,0,,,,,267.27047712572801,,,,,,,
"MULTILINESTRING ((-122.491537122203 37.738619184462, -122.492589070667 37.738572563582))",14548,13260000,VICENTE,ST,,34TH AVE,35TH AVE,25,,,,,304.68167358746501,,,,,,,
"MULTILINESTRING ((-122.427215973392 37.781122071462, -122.427336832388 37.781115016858, -122.430437631994 37.780720517396))",5805,12727000,TURK,ST,,LAGUNA ST,WEBSTER ST,30,,,,,942.66152269887505,,,,,,,
"MULTILINESTRING ((-122.424865814696 37.770752689324, -122.424892639347 37.770661836989, -122.426213544226 37.769623618529, -122.426322654034 37.769607540376))",7671,8761101,MARKET,ST,,LAGUNA ST,BUCHANAN ST,25,,,,,603.389532767275,,,,,,,
"MULTILINESTRING ((-122.388666177157 37.736487764276, -122.389877668475 37.73717447487))",9970,7933000,LA SALLE,AVE,,MENDELL ST,03RD ST,0,,,,,430.441594415537,,,,,,,
"MULTILINESTRING ((-122.431038687354 37.765872928982, -122.431137773761 37.765678162015, -122.432778046013 37.764378904627, -122.433087686694 37.764200655918))",11765,8766101,MARKET,ST,,SANCHEZ ST,16TH ST,25,,,,,856.90070917411504,,,,,,,
"MULTILINESTRING ((-122.405851368288 37.742396704125, -122.406023720058 37.742531192195, -122.406339242883 37.742387293315, -122.406528133542 37.742194937317))",9634,4444000,COSGROVE,ST,,BAY SHORE BLVD,END: 1-99 BLOCK,0,,,,,263.91578949849401,,,,,,,
"MULTILINESTRING ((-122.388580181877 37.760495784388, -122.388511560214 37.76041081151, -122.388281918616 37.758027133106, -122.388339313013 37.757944482026))",2083,190101,03RD,ST,,20TH ST,22ND ST,30,,,,,941.67318172418709,,,,,,,
"MULTILINESTRING ((-122.444185331858 37.765964415473, -122.443551524172 37.765327673688))",7351,8859000,MASONIC,AVE,,PIEDMONT ST,UPPER TER,0,,,,,295.52191716122002,,,,,,,
"MULTILINESTRING ((-122.422355717337 37.725400029094, -122.423338704417 37.725143078569))",10321,5480000,FELTON,ST,,MADISON ST,AVALON AVE,0,,,,,299.31727701409102,,,,,,,
"MULTILINESTRING ((-122.393889184714 37.765616098077, -122.39386119391 37.765311670472))",1278,10330000,PENNSYLVANIA,AVE,,07TH ST,17TH ST,0,,,,,111.15193195840301,,,,,,,
"MULTILINESTRING ((-122.416572322977 37.745444077559, -122.416706419079 37.745439807116, -122.417989690364 37.743452112451))",15926,13677000,WINFIELD,ST,,COSO AVE,ESMERALDA AVE,0,,,,,852.19629288271608,,,,,,,
"MULTILINESTRING ((-122.489206792013 37.751811806759, -122.490283605384 37.751763436863))",4502,10019000,ORTEGA,ST,,31ST AVE,32ND AVE,0,,,,,311.84147120508101,,,,,,,
"MULTILINESTRING ((-122.434876989398 37.777285607741, -122.436520450602 37.777073023639))",5374,5889000,FULTON,ST,,PIERCE ST,SCOTT ST,0,,,,,481.28495091853705,,,,,,,
"MULTILINESTRING ((-122.419896576978 37.727374499213, -122.420880589041 37.72711724429))",9554,11888000,SILLIMAN,ST,,OXFORD ST,HARVARD ST,0,,,,,299.62637129786503,,,,,,,
"MULTILINESTRING ((-122.498333684322 37.743931654063, -122.498202750029 37.742060611039))",14631,1898000,40TH,AVE,,SANTIAGO ST,TARAVAL ST,0,,,,,682.38702586748707,,,,,,,
"MULTILINESTRING ((-122.44453065284 37.717104430866, -122.44519299811 37.716580610688))",15874,11133000,ROME,ST,,START: 1-99 BLOCK,MOUNT VERNON AVE,0,,,,,270.35847472138403,,,,,,,
"MULTILINESTRING ((-122.409981688649 37.743054797809, -122.41000235247 37.742776913705))",11667,3745000,CARVER,ST,,FOLSOM ST,BERNAL HEIGHTS BLVD,0,,,,,101.36709066244001,,,,,,,
"MULTILINESTRING ((-122.399316275319 37.761130909649, -122.399194822038 37.759855465687))",3474,13694000,WISCONSIN,ST,,19TH ST,20TH ST,0,,,,,465.77659265825997,,,,,,,
"MULTILINESTRING ((-122.40853727391 37.721031686293, -122.407990133184 37.719740941529))",11962,3048000,BOWDOIN,ST,,OLMSTEAD ST,MANSELL ST,0,,,,,495.94966726286805,,,,,,,
"MULTILINESTRING ((-122.442806319791 37.782890279973, -122.443002325219 37.783902310996))",9463,2616000,BAKER,ST,,GEARY BLVD,POST ST,0,,,,,372.85943464016498,,,,,,,
"MULTILINESTRING ((-122.443712329308 37.779042961278, -122.445359959112 37.778841575606))",5345,12738000,TURK,BLVD,,LYON ST,CENTRAL AVE,30,,,,,481.82550970540001,,,,,,,
