the_geom,OBJECTID,CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPE.LEN,SCHOOLZONE,SCHOOLZONE_LIMIT,Status,MTAB_MOTION,MTAB_DATE,MTAB_RESO_TEXT,WorkOrder
"MULTILINESTRING ((-122.411606055458 37.749441174063, -122.41149733974 37.748303229318))",7404,6759000,HARRISON,ST,,26TH ST,CESAR CHAVEZ ST,0,,,,,415.57083051830801,,,,,,,
"MULTILINESTRING ((-122.469680240684 37.738510210611, -122.469069896428 37.737974819699))",16160,576000,14TH,AVE,,WAWONA ST,WEST PORTAL AVE,0,,,,,262.98926146206804,,,,,,,
"MULTILINESTRING ((-122.500075779277 37.734909835081, -122.500506612085 37.735109958977, -122.500915098832 37.73525770891, -122.5011107064 37.735211416539))",13597,11961202,SLOAT,BLVD,,42ND AVE,43RD AVE,35,,,,,333.18003283156003,,,,,,,
"MULTILINESTRING ((-122.421961801637 37.788494588545, -122.42208316142 37.78857472404, -122.422158595414 37.788947569054))",12900,13156101,VAN NESS,AVE,,BUSH ST,AUSTIN ST,25,,,,,183.13507074298101,,,,,,,
"MULTILINESTRING ((-122.501023219009 37.736328441317, -122.500972390811 37.735475613776, -122.5011107064 37.735211416539))",13139,1969000,43RD,AVE,,WAWONA ST,SLOAT BLVD,0,,,,,415.09346280886302,,,,,,,
"MULTILINESTRING ((-122.427596439271 37.753296727647, -122.428178521908 37.753261849854))",11063,1277000,23RD,ST,,CHURCH ST,NELLIE ST,0,,,,,168.775188045383,,,,,,,
"MULTILINESTRING ((-122.413432832645 37.772347493933, -122.412363462251 37.771494463322))",8578,7702000,JUNIPER,ST,,FOLSOM ST,END: 1-99 BLOCK,0,,,,,438.222521647549,,,,,,,
"MULTILINESTRING ((-122.438784424129 37.718123820008, -122.437958019967 37.717729011512))",12279,7341000,ITALY,AVE,,LONDON ST,PARIS ST,0,,,,,278.95230389078904,,,,,,,
"MULTILINESTRING ((-122.423813885111 37.761570615529, -122.423752418025 37.761441390699, -122.423616832885 37.760081567694, -122.423654522097 37.759972318502))",11552,6580101,GUERRERO,ST,,18TH ST,19TH ST,25,,,,,588.27525582017506,,,,,,,
"MULTILINESTRING ((-122.472392496789 37.726825836542, -122.472466172114 37.725554851566))",12680,12959000,JUNIPERO SERRA,BLVD,,WINSTON DR,STONECREST DR,0,,,,,463.31503322100201,,,,,,,
"MULTILINESTRING ((-122.451638922083 37.796573125401, -122.451642695897 37.796716714968, -122.451599123072 37.796835435235, -122.451387570861 37.797003110033, -122.451256214797 37.797113021633, -122.451236044943 37.797147307665))",2466,19648000,PRESIDIO,BLVD,,SIMONDS LOOP,SHERMAN RD,0,,,,,252.66711169951,,,,,,,
"MULTILINESTRING ((-122.4780751985 37.76165809663, -122.479149381907 37.761610854432))",11599,7655000,JUDAH,ST,,20TH AVE,21ST AVE,25,,,,,311.01817350648503,,,,,,,
"MULTILINESTRING ((-122.494023211879 37.759080449455, -122.494557718736 37.759056835355))",8332,7873000,KIRKHAM,ST,,35TH AVE,PINO ALY,0,,,,,154.76817226612201,,,,,,,
"MULTILINESTRING ((-122.448452915086 37.741231606153, -122.448411302673 37.741205916441, -122.448293355042 37.741059247925, -122.44808595581 37.740873351737, -122.44778329429 37.740667435825, -122.447478099729 37.740533101491, -122.447223508125 37.740447888978, -122.446920943837 37.740376821591, -122.446625993213 37.740272865789, -122.446448410904 37.740189638601, -122.446334636621 37.74012003391))",9285,8692101,MARIETTA,DR,,REPOSA WAY,ARROYO WAY,0,,,,,750.82385453708002,,,,,,,
"MULTILINESTRING ((-122.410255653449 37.789021283743, -122.411898873141 37.788812489602))",6152,12324000,SUTTER,ST,,MASON ST,TAYLOR ST,0,,,,,480.92189163122902,,,,,,,
"MULTILINESTRING ((-122.486412144218 37.788117857287, -122.486946564131 37.788094488628, -122.487238358558 37.788347297752, -122.487295627535 37.788357071227, -122.487470639019 37.788354121837, -122.487742566573 37.788320900608, -122.487873477678 37.788227397966))",12012,2554000,EASEMENT,,,26TH AVE,27TH AVE,0,,,,,477.44765155574703,,,,,,,
"MULTILINESTRING ((-122.442257009563 37.746889715477, -122.44208251564 37.746896482717, -122.441362689828 37.747129602926, -122.441050187356 37.747179788413, -122.44075946609 37.747139204657, -122.440477963604 37.747013771925, -122.440246323019 37.74675442455, -122.44020135697 37.746492002982, -122.440278991602 37.745816183245, -122.440253075084 37.74555344879, -122.44021436612 37.745384694439, -122.440101263294 37.745300975679))",5137,4776201,DIAMOND HEIGHTS,BLVD,,CARNELIAN WAY,DUNCAN ST,30,,,,,1208.66207252303,,,,,,,
"MULTILINESTRING ((-122.453056671998 37.741321802889, -122.453772709132 37.741279437816, -122.45405437191 37.741251778824, -122.45428875281 37.741195670277))",16014,11106000,ROCKDALE,DR,,LA BICA WAY,CHAVES AVE,0,,,,,360.49405693685401,,,,,,,
"MULTILINESTRING ((-122.473378390753 37.805723905655, -122.473118660295 37.805903342059, -122.473068266417 37.805962140022))",2469,19661000,RAMSEL,CT,,ARMISTEAD RD,RAMSEL CT,0,,,,,125.39626480130701,,,,,,,
