the_geom,OBJECTID,CNN,CORNER,STREET1,STREET2,DESCRIPT,COUNT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,INSTALL_MO,INSTALL_YR,GLOBALID,UPDATE_MO,UPDATE_YR
POINT (-122.414156590503 37.778245828711),327,24327000,,8TH ST,STEVENSON ST,INTERSECTION SHARROW,1,JENWONG,05/22/2017 05:35:44 PM +0000,JENWONG,05/22/2017 05:36:13 PM +0000,5,2017,{38013D05-CFCB-4676-80D7-3A9023578683},,
POINT (-122.407314287894 37.807385017158),964,25474000,,THE EMBARCADERO,NORTH POINT ST,BIKE SIGNAL,2,JENWONG,08/16/2017 12:26:20 AM +0000,JENWONG,12/13/2017 10:36:03 PM +0000,6,2017,{3B4BA4D8-866B-443C-A246-1AC49FA9374B},,
POINT (-122.41751468657 37.776545785908),26,30746000,,MARKET ST,10TH ST/POLK ST,BIKE SIGNAL,2,,,JENWONG,12/13/2017 10:46:08 PM +0000,,2014,{5AE69BC3-4D5D-40DE-9F7E-1CCD298A2AB8},,
POINT (-122.422378034304 37.769872641916),23,24403000,,DUBOCE AVE,VALENCIA ST,MIXING ZONE,1,JENWONG,09/22/2015 09:08:13 PM +0000,MTA,04/29/2016 10:44:54 PM +0000,,2015,{4911748B-44BB-40DB-A495-5541A03BD5EE},,
POINT (-122.41751468657 37.776545785908),7,30746000,,MARKET ST,10TH ST/POLK ST,INTERSECTION SHARROW,4,,,MTA,04/29/2016 10:44:54 PM +0000,,2014,{C352AF2E-D0F9-4378-BF2E-BD3B3EC2476B},,
POINT (-122.422682666776 37.743947130177),47,21349000,NE,SAN JOSE AVE,29TH ST,BIKE BOX,1,,,MTA,04/29/2016 10:44:54 PM +0000,,2011,{090522AF-23A5-4C2E-9A9A-30A324860C6D},,
POINT (-122.440935010306 37.77364023855),971,26350000,,FELL ST,BAKER ST,TWO-STAGE LEFT,1,JENWONG,10/06/2017 11:23:42 PM +0000,JENWONG,10/06/2017 11:25:30 PM +0000,7,2016,{7DECF5D9-CB67-4130-AD77-40183712F645},,
POINT (-122.410623943324 37.775433297547),324,23273000,,8TH ST,CLEMENTINA ST,INTERSECTION SHARROW,1,JENWONG,05/22/2017 05:33:19 PM +0000,JENWONG,05/22/2017 05:33:51 PM +0000,5,2017,{A642ADD5-74AC-4098-84DE-E49C78CB9D4B},,
POINT (-122.418239805146 37.778494009305),41,24437000,,POLK ST,GROVE ST,BIKE SIGNAL,2,,,JENWONG,12/13/2017 10:46:35 PM +0000,,2014,{90728BA9-C852-48B0-B859-8C0514D4A828},,
POINT (-122.428521973828 37.762894755982),69,25723000,,17TH ST,CHURCH ST,INTERSECTION SHARROW,4,,,MTA,04/29/2016 10:44:54 PM +0000,,2014,{51EE89DE-DB44-4FC2-B0B7-7CC1D81B5116},,
POINT (-122.411082656287 37.775798748636),325,24298000,,8TH ST,TEHAMA ST,INTERSECTION SHARROW,1,JENWONG,05/22/2017 05:33:59 PM +0000,JENWONG,05/22/2017 05:34:30 PM +0000,5,2017,{90F660D5-C3A7-4929-A1C9-934433D51ACD},,
POINT (-122.430060482804 37.778855872208),70,25967000,,WEBSTER ST,MCALLISTER ST,TWO-STAGE LEFT,2,,,MTA,04/29/2016 10:44:54 PM +0000,,2015,{416D32E5-723C-4E80-AF3A-0061F979CF0D},,
POINT (-122.459400838162 37.788410160135),655,27575000,,ARGUELLO BLVD,WASHINGTON ST,MIXING ZONE,1,JENWONG,07/26/2017 10:00:54 PM +0000,JENWONG,07/26/2017 10:01:40 PM +0000,10,2016,{413C9A93-4953-4C26-8AC6-C87AD065BF9A},,
POINT (-122.413682056196 37.748260272121),32,21177000,,FOLSOM,CESAR CHAVEZ,TWO-STAGE LEFT,1,JENWONG,11/12/2015 07:20:54 PM +0000,MTA,04/29/2016 10:44:54 PM +0000,,2015,{457CD722-10E7-4513-AD34-8FA8ADFD9B41},,
POINT (-122.436706567937 37.802633369685),43,26764000,,BAY ST,FILLMORE ST,INTERSECTION SHARROW,1,JENWONG,12/03/2015 10:43:53 PM +0000,MTA,04/29/2016 10:44:54 PM +0000,,2015,{62D7C2DA-8921-4834-8E19-4DF0E868EAA7},,
POINT (-122.42250057659 37.748018391914),968,21897000,,GUERRERO ST,CESAR CHAVEZ ST,MIXING ZONE,1,JENWONG,08/22/2017 11:47:40 PM +0000,JENWONG,08/22/2017 11:48:51 PM +0000,8,2017,{FD6CEE19-5A24-417E-A8EC-13B8909299DB},,
POINT (-122.419268830048 37.775151966009),1,30748000,"SW, NE",MARKET ST,VAN NESS AVE,BIKE BOX,2,,,MTA,04/29/2016 10:44:54 PM +0000,,2011,{E18EC37F-5D80-485A-897F-187738E109E0},,
POINT (-122.440748374351 37.772717763705),3,26319000,N,BAKER ST,OAK ST,BIKE BOX,1,,,MTA,04/29/2016 10:44:54 PM +0000,,2013,{1BA3F8E8-7D87-4B85-AFEC-F5258B2EDF30},,
POINT (-122.435764725359 37.77335060346),6,26027000,SE,SCOTT ST,OAK,BIKE BOX,1,,,MTA,04/29/2016 10:44:54 PM +0000,,2006,{3C759FD6-DA96-480B-9D54-4B3325015E4E},,
POINT (-122.418056391234 37.777516603048),45,24436000,,POLK ST,HAYES ST,BIKE SIGNAL,2,,,JENWONG,12/13/2017 10:34:29 PM +0000,,2014,{1E7CD99D-D144-49F8-B82A-5FF040F8E1D6},,
POINT (-122.45929275097 37.786918812888),653,27578000,,ARGUELLO BLVD,LAKE ST,INTERSECTION SHARROW,1,JENWONG,07/26/2017 10:00:03 PM +0000,JENWONG,07/26/2017 10:00:03 PM +0000,10,2016,{9BCBEE47-415F-45E2-84E1-31C435400DA7},,
POINT (-122.409400220047 37.777982032387),50,24265000,,7TH ST,HOWARD ST,MIXING ZONE,1,JENWONG,01/11/2016 11:33:51 PM +0000,MTA,04/29/2016 10:44:54 PM +0000,,2014,{45040599-2933-442B-BDC5-7DACC1ECD9E6},,
POINT (-122.422539567844 37.771599994452),20,25853000,NE,MCCOPPIN ST,VALENCIA ST,BIKE BOX,1,,,MTA,04/29/2016 10:44:54 PM +0000,,2013,{62E3E767-C821-4492-ADA2-061D23934D48},,
POINT (-122.388310829073 37.781806785799),22,23592000,,THE EMBARCADERO,TOWNSEND ST,TWO-STAGE LEFT,1,JENWONG,05/09/2016 08:25:23 PM +0000,JENWONG,05/09/2016 08:26:32 PM +0000,,2015,{095493B7-38FC-44B2-8BA2-5B350420598A},,
POINT (-122.408529544023 37.773764645751),967,24201000,,8TH ST,HARRISON ST,MIXING ZONE,1,JENWONG,08/22/2017 11:41:09 PM +0000,JENWONG,08/22/2017 11:42:32 PM +0000,7,2017,{9A42DD3A-0A81-4165-9B80-8965468F1186},,
POINT (-122.413398451401 37.769506948919),39,24228000,,13TH ST,HARRISON ST,TWO-STAGE LEFT,2,JENWONG,12/15/2016 10:59:30 PM +0000,JENWONG,05/22/2017 05:18:22 PM +0000,9,2015,{91E2A380-848F-4BA3-B565-5DE0F8D8B095},5,2017
POINT (-122.422632914862 37.77250770905),1281,30755000,,MARKET ST,VALENCIA ST,BIKE SIGNAL,2,JENWONG,12/13/2017 10:28:00 PM +0000,JENWONG,12/13/2017 10:34:24 PM +0000,,2012,{5FFA3AC2-E058-4B79-9B43-9A1F5038F747},,
POINT (-122.411619327458 37.776226301115),323,24299000,,8TH ST,HOWARD ST,TWO-STAGE LEFT,1,JENWONG,05/22/2017 05:32:12 PM +0000,JENWONG,05/22/2017 05:32:32 PM +0000,5,2017,{A9AB89C7-F6C3-4D17-B6A8-76D12D570FEA},,
POINT (-122.414833974916 37.769565524951),59,33028000,,13TH ST,ISIS ST,INTERSECTION SHARROW,1,JENWONG,12/15/2016 11:48:37 PM +0000,JENWONG,12/15/2016 11:49:13 PM +0000,9,2015,{EA1409CE-8925-450C-90D9-1EECB1626A70},,
POINT (-122.431917549533 37.770969316206),42,25991000,,STEINER ST,WALLER ST,INTERSECTION SHARROW,3,,,MTA,04/29/2016 10:44:54 PM +0000,,2012,{86F583D0-CDA6-4DFC-97AF-A85DC8A6FC1B},,
POINT (-122.45929275097 37.786918812888),641,27578000,,ARGUELLO BLVD,LAKE ST,MIXING ZONE,1,JENWONG,07/26/2017 09:15:10 PM +0000,JENWONG,07/26/2017 10:00:17 PM +0000,10,2016,{D329EF4D-3FC8-419F-BDF1-D822C461597D},,
POINT (-122.411619327458 37.776226301115),322,24299000,,8TH ST,HOWARD ST,MIXING ZONE,1,JENWONG,05/22/2017 05:31:18 PM +0000,JENWONG,05/22/2017 05:32:10 PM +0000,5,2017,{EAD37D50-843A-49AD-AD3C-278D00866D36},,
POINT (-122.402074844467 37.749401622601),34,20824000,NE,KANSAS ST,CESAR CHAVEZ ST,BIKE BOX,1,,,MTA,04/29/2016 10:44:54 PM +0000,,2012,{87358FCC-FE23-4DF3-833B-C8C179A506AF},,
POINT (-122.453739456502 37.770102968894),30,26440000,,PAGE ST,STANYAN ST,BIKE SIGNAL,2,,,JENWONG,12/13/2017 10:34:30 PM +0000,,2013,{B8F4F355-4FC6-4C85-9617-AF87B962D48B},,
POINT (-122.42632266313 37.769607488123),64,30758000,,MARKET ST,DUBOCE AVE,CROSSBIKE,1,,,MTA,04/29/2016 10:44:54 PM +0000,,2014,{7642D3F8-E95C-4B34-B92E-E7E15655F9CA},,
POINT (-122.419268830048 37.775151966009),56,30748000,,MARKET ST,VAN NESS AVE,INTERSECTION SHARROW,3,,,MTA,04/29/2016 10:44:54 PM +0000,,2011,{ABD514AA-122E-4378-B468-A1C302D35BD5},,
POINT (-122.407855274156 37.77675105422),334,24262000,,7TH ST,FOLSOM ST,MIXING ZONE,1,JENWONG,05/22/2017 06:11:44 PM +0000,JENWONG,05/22/2017 06:11:54 PM +0000,4,2017,{C9CBB60D-0CFA-4278-8498-7C13861E81C9},,
POINT (-122.458476123181 37.775623368764),644,27211000,,ARGUELLO BLVD,CABRILLO ST,INTERSECTION SHARROW,1,JENWONG,07/26/2017 09:30:16 PM +0000,JENWONG,07/26/2017 09:31:27 PM +0000,10,2016,{4C127021-414D-4F88-9CDC-3DD682018D4C},,
POINT (-122.445889275544 37.77287061732),35,26347000,,PANHANDLE PATH,MASONIC AVE,BIKE SIGNAL,4,,,JENWONG,12/13/2017 10:34:30 PM +0000,,2008,{5B1A60E7-15CC-4E23-BC15-E41CE537A844},,
POINT (-122.409400220047 37.777982032387),332,24265000,,7TH ST,HOWARD ST,TWO-STAGE LEFT,1,JENWONG,05/22/2017 06:07:44 PM +0000,JENWONG,05/22/2017 06:08:25 PM +0000,4,2017,{38F4B915-B5A8-4980-BB2D-1FD6EE6B7DA3},,
POINT (-122.422378034304 37.769872641916),57,24403000,SE,DUBOCE AVE,VALENCIA ST,BIKE BOX,1,JENWONG,09/22/2015 09:06:58 PM +0000,MTA,04/29/2016 10:44:54 PM +0000,,2015,{AE2AEBF6-FAC1-46A4-AF76-62D3A82687F1},,
POINT (-122.403448941354 37.805189849779),46,34013000,,SANSOME ST,THE EMBARCADERO,INTERSECTION SHARROW,1,JENWONG,03/01/2016 10:22:57 PM +0000,MTA,04/29/2016 10:44:54 PM +0000,,2015,{5F82B1A4-486C-47EA-8610-86F73EB761A9},,
POINT (-122.406226576091 37.769467490599),54,33614000,,9TH ST,DIVISION ST,INTERSECTION SHARROW,4,JENWONG,12/22/2016 06:06:30 PM +0000,JENWONG,12/22/2016 06:08:31 PM +0000,12,2016,{4C54A450-4B90-4B85-A053-70132A3886BD},,
POINT (-122.428670387295 37.767739778754),12,25878000,,14TH ST,MARKET ST,INTERSECTION SHARROW,2,,,MTA,04/29/2016 10:44:54 PM +0000,,2014,{8B251107-0903-475B-9784-793794801ABD},,
POINT (-122.412525470343 37.78048345714),52,30742000,,MARKET ST,7TH ST,TWO-STAGE LEFT,1,JENWONG,08/12/2015 04:34:01 PM +0000,MTA,04/29/2016 10:44:54 PM +0000,,2015,{5EF3C828-C515-4809-98C3-D27135076971},,
POINT (-122.428670387295 37.767739778754),5,25878000,,14TH ST,MARKET ST,TWO-STAGE LEFT,1,,,MTA,04/29/2016 10:44:54 PM +0000,,2014,{FB949328-0B86-4F1C-9E53-790E9434F286},,
POINT (-122.414754436533 37.778724374107),19,24429000,,MARKET ST,8TH ST,TWO-STAGE LEFT,2,JENWONG,12/01/2016 11:53:56 PM +0000,JENWONG,12/02/2016 12:22:38 AM +0000,6,2016,{B089AE72-1EC8-4134-87C1-CF0E459550C0},,
POINT (-122.43595354677 37.774281621129),1283,26030000,,SCOTT ST,FELL ST,BIKE SIGNAL,2,JENWONG,12/13/2017 10:32:47 PM +0000,JENWONG,12/13/2017 10:34:25 PM +0000,7,2016,{21C77CC7-122B-40D5-837E-F93262FF1E54},0,0
POINT (-122.4131184556 37.76545255198),62,24055000,,HARRISON ST,TREAT AVE,MIXING ZONE,2,JENWONG,05/09/2016 09:23:45 PM +0000,JENWONG,05/09/2016 09:44:12 PM +0000,3,2016,{EC38E964-1F8D-4A3B-A4CC-727CF0CFC795},,
POINT (-122.418696814128 37.775591461157),44,30747000,,MARKET ST,11TH ST,INTERSECTION SHARROW,1,,,MTA,04/29/2016 10:44:54 PM +0000,,2011,{656CD762-40F1-4DB7-BB7C-C19C5DD6C063},,
POINT (-122.406226576091 37.769467490599),36,33614000,,9TH ST,DIVISION ST,PROTECTED INTERSECTION,1,JENWONG,12/22/2016 06:07:26 PM +0000,JENWONG,12/22/2016 06:08:32 PM +0000,12,2016,{C3D421B5-C808-47BA-9472-8C9F29C6D915},,
POINT (-122.415590229257 37.769596104226),25,24349000,,13TH ST,FOLSOM ST,TWO-STAGE LEFT,2,JENWONG,12/15/2016 11:48:00 PM +0000,JENWONG,05/22/2017 05:17:38 PM +0000,9,2015,{FD098BE4-DDC5-4401-8B78-1446FF3EBC30},5,2017
POINT (-122.415574613403 37.773105480038),29,24353000,,11TH ST,HOWARD ST,TWO-STAGE LEFT,1,,,MTA,04/29/2016 10:44:54 PM +0000,,2014,{D3BB93E1-CCB6-4933-A432-90E189E2CCAF},,
POINT (-122.423298773714 37.742299474655),969,21890000,,SAN JOSE AVE,30TH ST,MIXING ZONE,1,JENWONG,08/22/2017 11:51:09 PM +0000,JENWONG,08/22/2017 11:52:08 PM +0000,8,2017,{49B46117-A563-4CC5-966E-06F703A0155D},,
POINT (-122.422539568979 37.771599994452),55,25853000,,MCCOPPIN ST,VALENCIA ST,TWO-STAGE LEFT,1,,,MTA,04/29/2016 10:44:53 PM +0000,,2014,{6A794D9F-85A9-4686-AC13-29D03CA82B64},,
POINT (-122.401986643279 37.80407719831),972,24819000,,BATTERY ST,THE EMBARCADERO,INTERSECTION SHARROW,1,JENWONG,10/13/2017 04:30:38 PM +0000,JENWONG,10/13/2017 04:33:28 PM +0000,10,2017,{14C51D0E-0C65-4B45-9D5F-7D258DDBF7D8},,
POINT (-122.403890912588 37.7700678112),67,23871000,,8TH ST,TOWNSEND ST,INTERSECTION SHARROW,5,JENWONG,12/23/2015 06:11:31 PM +0000,MTA,04/29/2016 10:44:54 PM +0000,,2015,{7F3CB7D9-E039-46CE-9B1B-A5CC35DD4DE1},,
POINT (-122.506730652266 37.735474692571),8,32904000,NE,SLOAT ST,GREAT HWY,BIKE BOX,1,JENWONG,05/10/2016 12:06:30 AM +0000,JENWONG,05/10/2016 12:11:52 AM +0000,,2015,{CD70BEDB-252B-40AF-BDF4-BBFBF4FDC358},,
