the_geom,OBJECTID,CNN,CORNER,STREET1,STREET2,DESCRIPT,COUNT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,INSTALL_MO,INSTALL_YR,GLOBALID,UPDATE_MO,UPDATE_YR
POINT (-122.435201178433 37.762675649157),1601,25814000,,MARKET ST,CASTRO ST,INTERSECTION SHARROW,1,JENWONG,12/27/2017 11:31:36 PM +0000,JENWONG,01/17/2018 07:28:12 PM +0000,11,2016,{12C4780D-076F-4DB8-BD38-119ED40C5068},,
POINT (-122.430837610323 37.766018673446),1608,25880000,,MARKET ST,15TH ST,BIKE BOX,1,JENWONG,12/27/2017 11:36:44 PM +0000,JENWONG,01/17/2018 07:27:27 PM +0000,11,2016,{B6EE9D55-FF62-418A-8E8E-0D96D71C9FCF},,
POINT (-122.426871505951 37.769047332404),1614,25865000,,MARKET ST,DOLORES ST,INTERSECTION SHARROW,2,JENWONG,12/27/2017 11:41:44 PM +0000,JENWONG,01/17/2018 07:26:09 PM +0000,11,2016,{AE7671A6-4113-4275-BDDD-D5FB7064F173},,
POINT (-122.430837610323 37.766018673446),1611,25880000,,MARKET ST,15TH ST,INTERSECTION SHARROW,1,JENWONG,12/27/2017 11:38:52 PM +0000,JENWONG,01/17/2018 07:26:51 PM +0000,11,2016,{30003F2E-3B65-41E8-874B-AED28A9E7989},,
POINT (-122.39076941168 37.766378837699),1921,54354000,,4TH ST,UNNAMED RD,INTERSECTION SHARROW,2,JENWONG,01/17/2018 07:20:37 PM +0000,JENWONG,01/17/2018 07:29:44 PM +0000,,2016,{8FB6B3C5-AF9D-4CFA-879E-620398EA6D89},,
POINT (-122.431038687354 37.765872928982),1612,25806000,,MARKET ST,SANCHEZ ST,INTERSECTION SHARROW,1,JENWONG,12/27/2017 11:38:52 PM +0000,JENWONG,01/17/2018 07:26:36 PM +0000,11,2016,{0C9D9CCB-B14E-4A91-8DC8-51CEF2F92705},,
POINT (-122.431038687354 37.765872928982),1607,25806000,,MARKET ST,SANCHEZ ST,BIKE BOX,1,JENWONG,12/27/2017 11:36:41 PM +0000,JENWONG,01/17/2018 07:27:15 PM +0000,11,2016,{17B37D34-D164-4702-B345-9FC914EDD6C2},,
POINT (-122.430837610323 37.766018673446),1609,25880000,,MARKET ST,15TH ST,MIXING ZONE,1,JENWONG,12/27/2017 11:38:19 PM +0000,JENWONG,01/17/2018 07:27:28 PM +0000,11,2016,{70755031-996D-47A5-8527-2312CB770827},,
POINT (-122.435201178433 37.762675649157),1602,25814000,,MARKET ST,CASTRO ST,MIXING ZONE,1,JENWONG,12/27/2017 11:32:33 PM +0000,JENWONG,01/17/2018 07:28:16 PM +0000,11,2016,{808F5ECD-7FFC-4967-94B3-85FA1A3E63E7},,
POINT (-122.433087686694 37.764200655918),1604,25804000,,MARKET ST,16TH ST,BIKE BOX,1,JENWONG,12/27/2017 11:33:38 PM +0000,JENWONG,01/17/2018 07:27:53 PM +0000,11,2016,{E0B2BD8E-9EEE-4C89-957B-7EBFCC2949DB},,
POINT (-122.431038687354 37.765872928982),1610,25806000,,MARKET ST,SANCHEZ ST,MIXING ZONE,1,JENWONG,12/27/2017 11:38:19 PM +0000,JENWONG,01/17/2018 07:27:15 PM +0000,11,2016,{F2BDC74A-4706-4CF8-9A5C-3130B000EF6D},,
POINT (-122.433087686694 37.764200655918),1603,25804000,,MARKET ST,16TH ST,MIXING ZONE,1,JENWONG,12/27/2017 11:33:15 PM +0000,JENWONG,01/17/2018 07:27:53 PM +0000,11,2016,{6B2AB70E-93A1-4541-982F-162DE023D9D1},,
POINT (-122.407855274156 37.77675105422),333,24262000,,7TH ST,FOLSOM ST,TWO-STAGE LEFT,1,JENWONG,05/22/2017 06:08:51 PM +0000,JENWONG,03/19/2018 05:52:38 PM +0000,4,2017,{B39F51D1-9206-4FCC-AD76-AF1DEAE32269},1,2018
POINT (-122.404444464944 37.779445280435),2250,23936000,,FALMOUTH ST,FOLSOM ST,INTERSECTION SHARROW,1,JENWONG,03/19/2018 06:08:51 PM +0000,JENWONG,03/19/2018 06:09:46 PM +0000,1,2018,{ED3A0F77-FE77-4F4E-B36D-E56681D01E54},,
POINT (-122.408393326758 37.776323332082),2247,24274000,,FOLSOM ST,LANGTON ST,INTERSECTION SHARROW,1,JENWONG,03/19/2018 05:48:14 PM +0000,JENWONG,03/19/2018 05:49:07 PM +0000,1,2018,{53BE2597-6FBA-4A8F-9307-D4BA6E3CD87A},,
POINT (-122.408858963655 37.775958174419),2246,24275000,,FOLSOM ST,HALLAM ST,INTERSECTION SHARROW,1,JENWONG,03/19/2018 05:47:45 PM +0000,JENWONG,03/19/2018 05:50:13 PM +0000,1,2018,{31D6C193-198F-4697-BB37-00E3EB939483},,
POINT (-122.412238220073 37.773289725601),2244,24234000,,DORE ST,FOLSOM ST,INTERSECTION SHARROW,1,JENWONG,03/19/2018 05:39:31 PM +0000,JENWONG,03/19/2018 05:40:10 PM +0000,1,2018,{A60BA5F6-81F7-420E-A418-78F11D47444D},,
POINT (-122.413432832645 37.772347493933),2242,24244000,,FOLSOM ST,JUNIPER ST,INTERSECTION SHARROW,1,JENWONG,03/19/2018 05:32:21 PM +0000,JENWONG,03/19/2018 05:37:17 PM +0000,1,2018,{1771D05B-ECB7-48B3-BBCB-556754CA84EF},,
POINT (-122.410075993465 37.774996684737),24,24272000,,8TH ST,FOLSOM ST,TWO-STAGE LEFT,1,,,JENWONG,03/19/2018 05:43:49 PM +0000,,2014,{CD29FC37-D33D-4EBE-BB2B-2417065D12CD},1,2018
POINT (-122.409494701315 37.775455950438),2245,24269000,,FOLSOM ST,RODGERS ST,INTERSECTION SHARROW,1,JENWONG,03/19/2018 05:47:10 PM +0000,JENWONG,03/19/2018 05:49:15 PM +0000,1,2018,{C1C415F2-CF5C-4D84-828B-8D7F15215096},,
POINT (-122.407027965109 37.777404578384),2249,24264000,,FOLSOM ST,SHERMAN ST,INTERSECTION SHARROW,1,JENWONG,03/19/2018 05:58:39 PM +0000,JENWONG,03/19/2018 05:59:18 PM +0000,1,2018,{B0F60A89-29D5-4BD2-83CC-47344EB96F93},,
POINT (-122.412837440025 37.772817104151),2243,24233000,,10TH ST,FOLSOM ST,MIXING ZONE,1,JENWONG,03/19/2018 05:36:50 PM +0000,JENWONG,03/19/2018 05:37:31 PM +0000,1,2018,{F766A7DB-3F3E-44BC-8040-79C934DB151B},,
POINT (-122.414039920818 37.771868651218),2241,24238000,,11TH ST,FOLSOM ST,TWO-STAGE LEFT,3,JENWONG,03/19/2018 05:18:32 PM +0000,JENWONG,03/19/2018 05:32:05 PM +0000,1,2018,{A9D986D5-6FFF-436C-A97D-50948063B4B2},,
POINT (-122.406449549312 37.777861483823),2248,23926000,,COLUMBIA SQUARE ST,FOLSOM ST,INTERSECTION SHARROW,1,JENWONG,03/19/2018 05:56:44 PM +0000,JENWONG,03/19/2018 06:09:16 PM +0000,1,2018,{D4C77B7E-1D4F-4F38-AB99-6AD7F6839F6F},,
POINT (-122.422632914862 37.77250770905),2256,30755000,,MARKET ST,VALENCIA ST,JUGHANDLE,1,JENWONG,04/25/2018 05:33:28 PM +0000,JENWONG,04/25/2018 05:33:56 PM +0000,,2012,{87B2440E-0CE8-4098-B60D-C6CA4F064072},,
POINT (-122.424865814696 37.770752689324),2562,30757000,,MARKET ST,GUERRERO ST,INTERSECTION SHARROW,3,JENWONG,04/25/2018 07:54:51 PM +0000,JENWONG,04/25/2018 07:55:58 PM +0000,4,2018,{5F9C2498-C5D1-42ED-A8CC-F23ABFB5B594},,
POINT (-122.423409985193 37.771890535111),2564,30756000,,MARKET ST,OCTAVIA BLVD,BIKE BOX,1,JENWONG,04/25/2018 08:01:11 PM +0000,JENWONG,04/25/2018 08:01:47 PM +0000,4,2018,{4F4F9A6D-EB88-499F-82BF-B62AF07CB287},,
POINT (-122.415707087482 37.782589978301),2253,24933000,,TURK ST,HYDE ST,BIKE BOX,1,JENWONG,04/24/2018 04:48:10 PM +0000,JENWONG,04/24/2018 04:48:44 PM +0000,4,2018,{8BDDFEF5-90E2-4579-AA9A-05A0BB0E0744},,
POINT (-122.423409985193 37.771890535111),51,30756000,,MARKET ST,OCTAVIA BLVD,INTERSECTION SHARROW,3,,,JENWONG,04/25/2018 05:34:19 PM +0000,,2013,{BD53FA46-5B07-4572-8DBF-AE78BB410B07},,
POINT (-122.423632738747 37.771721905964),2561,35006000,,MARKET ST,OCTAVIA BLVD,INTERSECTION SHARROW,1,JENWONG,04/25/2018 05:34:52 PM +0000,JENWONG,04/25/2018 05:38:48 PM +0000,,2013,{6F48AB77-3FA7-4561-B29A-DFD0257C4402},,
POINT (-122.419006488636 37.782174215355),2254,25175000,,TURK ST,POLK ST,BIKE BOX,2,JENWONG,04/24/2018 04:49:22 PM +0000,JENWONG,04/24/2018 04:49:50 PM +0000,4,2018,{A3FFB80C-A6E6-4CDB-9115-CD7BBF4F15FB},,
POINT (-122.424865814696 37.770752689324),2563,30757000,,MARKET ST,GUERRERO ST,BIKE BOX,1,JENWONG,04/25/2018 07:56:09 PM +0000,JENWONG,04/25/2018 07:56:41 PM +0000,4,2018,{FC1B3D52-28E4-47E2-B1FD-7787FA2EB317},,
POINT (-122.414039920818 37.771868651218),2251,24238000,,11TH ST,FOLSOM ST,MIXING ZONE,1,JENWONG,04/18/2018 08:44:52 PM +0000,JENWONG,04/18/2018 08:45:36 PM +0000,3,2018,{2FF1135A-D512-4273-B232-D1A9F4BDC1EF},,
POINT (-122.410075993465 37.774996684737),2255,24272000,,8TH ST,FOLSOM ST,BIKE SIGNAL,2,JENWONG,04/24/2018 04:58:07 PM +0000,JENWONG,04/24/2018 04:59:19 PM +0000,4,2018,{571E2467-39BC-41F0-8821-CB2414711CD5},,
POINT (-122.405437947258 37.771301297692),2881,23872000,,8TH ST,BRANNAN ST,TWO-STAGE LEFT,1,JENWONG,05/08/2018 04:51:26 PM +0000,JENWONG,05/08/2018 04:58:50 PM +0000,5,2018,{EF1C35B3-3D72-4869-8B7A-84B1BA742E43},,
POINT (-122.42632266313 37.769607488123),58,30758000,NE,DUBOCE AVE,MARKET ST,BIKE BOX,2,,,JENWONG,04/25/2018 07:51:52 PM +0000,,2014,{0317AD82-BF66-4C36-A3DD-17E51C6D1B25},4,2018
POINT (-122.405437947258 37.771301297692),2882,23872000,,8TH ST,BRANNAN ST,BIKE SIGNAL,2,JENWONG,05/08/2018 04:52:14 PM +0000,JENWONG,05/08/2018 04:58:52 PM +0000,4,2018,{95AB9E30-9ABE-4400-933E-09353F61C380},,
POINT (-122.42632266313 37.769607488123),1615,30758000,,MARKET ST,DUBOCE AVE,INTERSECTION SHARROW,8,JENWONG,12/27/2017 11:43:07 PM +0000,JENWONG,04/25/2018 07:52:31 PM +0000,11,2016,{320FC28A-0D81-4F8C-9B45-E0625DDAF4A8},,
POINT (-122.412424961594 37.783009023913),2252,24923000,,TURK ST,JONES ST,BIKE BOX,1,JENWONG,04/24/2018 04:46:27 PM +0000,JENWONG,04/24/2018 04:47:43 PM +0000,4,2018,{3A873EFD-164A-4D99-8CC5-FA8C67A25EFC},,
